Prior,Dataset,MVG,DimRed,MinDCF
0.5,RAW,Standard MVG,No DimRed,0.131944444
0.5,Z-Norm,Standard MVG,No DimRed,0.131944444
0.1,RAW,Standard MVG,No DimRed,0.131944444
0.1,Z-Norm,Standard MVG,No DimRed,0.131944444
0.9,RAW,Standard MVG,No DimRed,0.131944444
0.9,Z-Norm,Standard MVG,No DimRed,0.131944444
0.5,RAW,Standard MVG,PCA 11,0.135119048
0.1,RAW,Standard MVG,PCA 11,0.135119048
0.9,RAW,Standard MVG,PCA 11,0.135119048
0.5,Z-Norm,Standard MVG,PCA 11,0.14047619
0.1,Z-Norm,Standard MVG,PCA 11,0.14047619
0.9,Z-Norm,Standard MVG,PCA 11,0.14047619
0.5,RAW,Tied MVG,No DimRed,0.19265873
0.5,Z-Norm,Tied MVG,No DimRed,0.19265873
0.1,RAW,Tied MVG,No DimRed,0.19265873
0.1,Z-Norm,Tied MVG,No DimRed,0.19265873
0.9,RAW,Tied MVG,No DimRed,0.19265873
0.9,Z-Norm,Tied MVG,No DimRed,0.19265873
0.5,RAW,Tied MVG,PCA 11,0.198015873
0.1,RAW,Tied MVG,PCA 11,0.198015873
0.9,RAW,Tied MVG,PCA 11,0.198015873
0.5,Z-Norm,Tied MVG,PCA 11,0.198809524
0.1,Z-Norm,Tied MVG,PCA 11,0.198809524
0.9,Z-Norm,Tied MVG,PCA 11,0.198809524
0.5,RAW,Standard MVG,PCA 10,0.199404762
0.1,RAW,Standard MVG,PCA 10,0.199404762
0.9,RAW,Standard MVG,PCA 10,0.199404762
0.5,RAW,Standard MVG,PCA 9,0.211111111
0.1,RAW,Standard MVG,PCA 9,0.211111111
0.9,RAW,Standard MVG,PCA 9,0.211111111
0.5,Z-Norm,Standard MVG,PCA 10,0.212103175
0.1,Z-Norm,Standard MVG,PCA 10,0.212103175
0.9,Z-Norm,Standard MVG,PCA 10,0.212103175
0.5,RAW,Naive MVG,PCA 11,0.240674603
0.1,RAW,Naive MVG,PCA 11,0.240674603
0.9,RAW,Naive MVG,PCA 11,0.240674603
0.5,Z-Norm,Standard MVG,PCA 9,0.24265873
0.1,Z-Norm,Standard MVG,PCA 9,0.24265873
0.9,Z-Norm,Standard MVG,PCA 9,0.24265873
0.5,Z-Norm,Naive MVG,PCA 11,0.253571429
0.1,Z-Norm,Naive MVG,PCA 11,0.253571429
0.9,Z-Norm,Naive MVG,PCA 11,0.253571429
0.5,RAW,Tied MVG,PCA 10,0.269047619
0.1,RAW,Tied MVG,PCA 10,0.269047619
0.9,RAW,Tied MVG,PCA 10,0.269047619
0.5,RAW,Naive MVG,PCA 10,0.290079365
0.1,RAW,Naive MVG,PCA 10,0.290079365
0.9,RAW,Naive MVG,PCA 10,0.290079365
0.5,RAW,Tied MVG,PCA 9,0.291865079
0.1,RAW,Tied MVG,PCA 9,0.291865079
0.9,RAW,Tied MVG,PCA 9,0.291865079
0.5,Z-Norm,Tied MVG,PCA 10,0.292261905
0.1,Z-Norm,Tied MVG,PCA 10,0.292261905
0.9,Z-Norm,Tied MVG,PCA 10,0.292261905
0.5,Z-Norm,Naive MVG,PCA 10,0.311904762
0.1,Z-Norm,Naive MVG,PCA 10,0.311904762
0.9,Z-Norm,Naive MVG,PCA 10,0.311904762
0.5,RAW,Naive MVG,PCA 9,0.315873016
0.1,RAW,Naive MVG,PCA 9,0.315873016
0.9,RAW,Naive MVG,PCA 9,0.315873016
0.5,Z-Norm,Naive MVG,PCA 9,0.343055556
0.1,Z-Norm,Naive MVG,PCA 9,0.343055556
0.9,Z-Norm,Naive MVG,PCA 9,0.343055556
0.5,Z-Norm,Tied MVG,PCA 9,0.352579365
0.1,Z-Norm,Tied MVG,PCA 9,0.352579365
0.9,Z-Norm,Tied MVG,PCA 9,0.352579365
0.5,RAW,Naive MVG,No DimRed,0.467460317
0.5,Z-Norm,Naive MVG,No DimRed,0.467460317
0.1,RAW,Naive MVG,No DimRed,0.467460317
0.1,Z-Norm,Naive MVG,No DimRed,0.467460317
0.9,RAW,Naive MVG,No DimRed,0.467460317
0.9,Z-Norm,Naive MVG,No DimRed,0.467460317
0.5,RAW,Tied Naive MVG,PCA 11,0.541071429
0.1,RAW,Tied Naive MVG,PCA 11,0.541071429
0.9,RAW,Tied Naive MVG,PCA 11,0.541071429
0.5,RAW,Tied Naive MVG,No DimRed,0.541865079
0.5,Z-Norm,Tied Naive MVG,No DimRed,0.541865079
0.1,RAW,Tied Naive MVG,No DimRed,0.541865079
0.1,Z-Norm,Tied Naive MVG,No DimRed,0.541865079
0.9,RAW,Tied Naive MVG,No DimRed,0.541865079
0.9,Z-Norm,Tied Naive MVG,No DimRed,0.541865079
0.5,RAW,Tied Naive MVG,PCA 10,0.576984127
0.1,RAW,Tied Naive MVG,PCA 10,0.576984127
0.9,RAW,Tied Naive MVG,PCA 10,0.576984127
0.5,RAW,Tied Naive MVG,PCA 9,0.581944444
0.1,RAW,Tied Naive MVG,PCA 9,0.581944444
0.9,RAW,Tied Naive MVG,PCA 9,0.581944444
0.5,Z-Norm,Tied Naive MVG,PCA 11,0.584722222
0.1,Z-Norm,Tied Naive MVG,PCA 11,0.584722222
0.9,Z-Norm,Tied Naive MVG,PCA 11,0.584722222
0.5,Z-Norm,Tied Naive MVG,PCA 10,0.626388889
0.1,Z-Norm,Tied Naive MVG,PCA 10,0.626388889
0.9,Z-Norm,Tied Naive MVG,PCA 10,0.626388889
0.5,Z-Norm,Tied Naive MVG,PCA 9,0.654761905
0.1,Z-Norm,Tied Naive MVG,PCA 9,0.654761905
0.9,Z-Norm,Tied Naive MVG,PCA 9,0.654761905
